epoch,loss,accuracy,iou_metric,f_measure,mae_metric,val_loss,val_accuracy,val_iou_metric,val_f_measure,val_mae_metric,learning_rate
1,1.1283,0.8149,0.489,0.5811,0.2924,1.0003,0.8752,0.5036,0.6546,0.2321,0.0001
2,0.9052,0.8891,0.592,0.6904,0.1997,0.8189,0.9034,0.6371,0.7375,0.1762,0.0001
3,0.8262,0.8989,0.6229,0.7209,0.1693,0.7667,0.9122,0.6558,0.759,0.1538,0.0001
4,0.754,0.909,0.6518,0.7473,0.144,0.7269,0.9065,0.6596,0.7507,0.1435,0.0001
5,0.6942,0.9163,0.6725,0.7639,0.1253,0.7176,0.914,0.6465,0.7657,0.1274,0.0001
6,0.6455,0.9215,0.6932,0.7823,0.1113,0.73,0.8938,0.6478,0.7156,0.129,0.0001
7,0.6052,0.9262,0.7069,0.793,0.1009,0.6184,0.9178,0.6887,0.7802,0.1074,0.0001
8,0.5763,0.9301,0.7189,0.8054,0.0929,0.6073,0.9249,0.6842,0.7997,0.0991,0.0001
9,0.5467,0.9328,0.73,0.814,0.0869,0.6086,0.924,0.6812,0.7978,0.0941,0.0001
10,0.5183,0.9362,0.7418,0.823,0.0808,0.6026,0.9132,0.6932,0.7795,0.1056,0.0001
11,0.503,0.9387,0.7468,0.8284,0.0765,0.6683,0.9141,0.6492,0.7966,0.1006,0.0001
12,0.4704,0.9424,0.7611,0.8386,0.0712,0.554,0.9278,0.7156,0.8069,0.0856,0.0001
13,0.4466,0.9464,0.7749,0.851,0.0656,0.5769,0.9266,0.6993,0.7954,0.0836,0.0001
14,0.4273,0.9485,0.7833,0.8574,0.0627,0.5536,0.926,0.7162,0.8098,0.0866,0.0001
15,0.4233,0.9488,0.7844,0.8586,0.0618,0.5538,0.9285,0.7175,0.8011,0.0795,0.0001
16,0.4015,0.952,0.7947,0.8659,0.0578,0.5199,0.9343,0.726,0.8227,0.0753,0.0001
17,0.3812,0.9547,0.8036,0.8725,0.0541,0.5751,0.928,0.705,0.8013,0.0792,0.0001
18,0.3686,0.9563,0.8111,0.8789,0.0523,0.6353,0.9212,0.6686,0.7918,0.0872,0.0001
19,0.354,0.9586,0.8175,0.8832,0.0494,0.5323,0.9292,0.73,0.8022,0.0775,0.0001
20,0.3445,0.9595,0.8203,0.8852,0.048,0.5769,0.9307,0.7031,0.8087,0.0757,0.0001
21,0.3292,0.9625,0.8278,0.8917,0.0447,0.5153,0.9353,0.7349,0.8193,0.071,0.0001
22,0.3137,0.964,0.8342,0.8965,0.0422,0.5879,0.9297,0.7007,0.8136,0.0762,0.0001
23,0.3001,0.9663,0.841,0.9017,0.04,0.5463,0.9344,0.722,0.8279,0.0709,0.0001
24,0.2979,0.9661,0.8417,0.9018,0.0399,0.5911,0.9292,0.7098,0.817,0.0755,0.0001
25,0.2909,0.9669,0.8464,0.9054,0.039,0.5117,0.934,0.7468,0.8254,0.0707,0.0001
26,0.279,0.9689,0.8513,0.9098,0.0365,0.4821,0.9405,0.7541,0.8321,0.0653,0.0001
27,0.2659,0.9706,0.8577,0.9131,0.0347,0.5407,0.9292,0.7281,0.8117,0.0763,0.0001
28,0.2599,0.9712,0.8605,0.9161,0.0339,0.5358,0.9317,0.7378,0.8138,0.0729,0.0001
29,0.2684,0.9697,0.857,0.9125,0.0357,0.5294,0.9339,0.7262,0.8161,0.0718,0.0001
30,0.267,0.9698,0.8577,0.9138,0.0353,0.5626,0.9302,0.7152,0.8116,0.0754,0.0001
31,0.2454,0.9731,0.8668,0.9192,0.0316,0.5706,0.9296,0.7071,0.8086,0.0763,0.0001
32,0.2343,0.9745,0.8731,0.9246,0.03,0.5594,0.9349,0.7237,0.8196,0.0691,0.0001
33,0.2279,0.9749,0.8767,0.9273,0.0293,0.5359,0.9379,0.7244,0.8146,0.0659,0.0001
34,0.2334,0.9742,0.8724,0.9238,0.0301,0.5807,0.9347,0.7264,0.8282,0.0692,0.0001
35,0.1933,0.9795,0.8936,0.9381,0.0241,0.5156,0.9383,0.7412,0.8317,0.0656,5e-05
36,0.1767,0.9815,0.9022,0.9437,0.0218,0.5045,0.9397,0.7499,0.8407,0.0642,5e-05
37,0.164,0.9831,0.909,0.948,0.02,0.5226,0.9396,0.7493,0.8364,0.0633,5e-05
38,0.1652,0.9831,0.9079,0.9474,0.0199,0.5224,0.9417,0.7491,0.847,0.0612,5e-05
39,0.159,0.9835,0.9109,0.9495,0.0193,0.5284,0.938,0.7477,0.8332,0.0651,5e-05
40,0.1533,0.9843,0.9148,0.952,0.0184,0.5296,0.9405,0.7509,0.8356,0.0622,5e-05
41,0.1494,0.9847,0.916,0.9523,0.0179,0.5573,0.9378,0.7408,0.8377,0.0646,5e-05
